country_id,continent_id
2050,2
5181,3
4586,1
9350,6
9230,3
9448,1
5604,4
8745,4
5231,5
1972,2
8217,4
7859,6
5484,3
2557,2
3976,4
5160,2
3421,2
8963,4
4288,3
2934,3
1945,4
5854,1
5017,4
5833,2
8863,5
2086,3
6025,1
5643,5
8750,4
1038,2
4114,3
3270,1
5785,1
1475,2
2910,1
4227,4
5564,1
1710,4
1420,1
9053,1
8151,5
4783,2
8433,5
2225,1
1998,6
5481,4
9225,3
5830,4
5520,3
9936,3
8382,1
1484,4
4632,4
8990,5
5730,1
8331,4
5493,1
1933,1
4556,3
2855,1
1077,1
1812,5
8902,3
2666,6
8325,3
2491,3
6137,5
1540,6
9323,1
1968,1
6192,2
2447,3
1680,1
5059,3
7791,3
9550,4
1866,4
1376,4
8106,6
8657,4
9599,1
5294,1
2843,5
6415,4
1086,4
7703,2
9064,3
7843,3
7159,2
3993,2
7987,2
3959,2
7100,3
3808,3
9089,2
5288,3
6674,4
6552,2
4363,2
4450,2
3754,1
5939,6
5927,2
8847,2
1313,2
3111,3
1899,2
1612,1
9882,1
9669,1
3125,3
9898,3
7830,3
3497,1
3592,1
6262,2
2701,2
4228,1
3964,3
8099,6
6596,4
2777,1
2792,1
6400,1
9800,4
8489,6
1367,3
2641,3
9877,2
1357,3
6446,4
3324,1
9850,1
7797,2
2703,1
9288,6
3315,2
7531,3
5635,6
1811,6
6130,4
1507,1
4777,1
7875,6
4718,2
6127,3
1019,6
4283,3
2939,2
5946,2
7978,6
2232,4
6499,6
8530,5
2693,5
1477,2
7322,3
4885,3
7373,4
3352,2
6771,3
6070,3
7426,1
9065,4
9260,4
7092,4
3283,6
6251,3
7391,2
5951,1
1245,3
3813,1
2946,1
7069,2
9088,4
3625,3
5516,3
9888,6
6544,1
6951,1
7514,2
1955,1
7526,3
7632,2
4452,1
9954,5
9171,3
9995,3
9598,2
1623,2
8108,2
5605,1
3514,2
8258,2
3763,1
4810,6
7376,6
4402,4
2097,1
3095,2
6898,2
6928,6
3793,1
8670,3
3348,2
8898,3
8163,4
8338,5
7220,2
9145,6
4005,5
6369,2
7483,1
7872,2
9480,1
2658,1
